date,Research,gasage_yr_bp,co2_ppmv,sig_mean_co2_ppmv
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-51.03,368.0224879,0.060442231
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-48,361.7807366,0.37
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-46.27927213,359.6477932,0.098000133
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-44.40564212,357.1067397,0.159922975
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-43.08,353.9466853,0.043007103
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-42.31351706,353.7242358,0.221092608
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-41.13481671,352.4163084,0.102247179
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-39.97139973,350.8086522,0.161870326
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-39.40796781,349.8002704,0.135223265
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-38.96633494,349.2784146,0.126148722
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-38.06951193,347.5974056,0.403196474
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-37.2085916,345.441206,0.032364403
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-36.6160162,344.7177686,0.093879456
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-36.14322834,343.9736768,0.060520379
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-35.76218002,343.1107521,0.143706129
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-34.91675295,342.0519764,0.461680582
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-33.07684987,341.3292967,0.09745204
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-33.02591866,339.4604885,0.301941947
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-29.14258988,334.8485555,0.374972198
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-26.79675037,335.5469535,0.634097003
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-26.67036968,332.3689555,1.267072959
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-25.57092123,332.3656863,0.039400647
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-24.13341332,331.5498057,0.634109608
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-22.08833438,328.415888,0.634102973
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-22.04101781,330.3504422,2.214392032
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-20.87268198,326.3093257,1.342143357
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-20.65630201,326.6491948,1.161682046
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-20.63715024,324.9059937,0.17552765
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-20.22168348,324.5570617,0.63408787
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-19.42321802,324.7060576,0.634078884
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-18.98437083,325.0771759,0.634090133
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-18.81386949,324.0855174,0.634072374
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-18.53874856,320.3806508,1.161646626
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-16.78904408,320.4923554,1.161661607
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-16.54523533,322.1747797,1.342134959
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-15.86601157,320.9815664,1.742192461
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-15.29787811,319.1950596,0.950534086
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-15.22634923,319.8929363,0.634067309
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-13.56449559,319.123473,0.941408438
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-13.20001828,319.0660644,0.634064184
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-12.61527986,318.6110626,0.89786365
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-12.54209154,317.4481355,0.634057346
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-12.39534109,319.1381732,0.634064469
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-12.3219164,317.521628,0.634057654
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-11.7159,316.5926101,0.635490532
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-10.56866172,318.2065804,1.723064
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-10.3140448,313.0933881,1.812520761
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-9.09269585,311.9838924,1.812519207
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-8.56297112,316.33402,0.941400487
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-8.10278585,316.1014029,1.723060696
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-7.87242429,314.5721663,0.410902576
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-7.25753884,315.2703546,1.161655146
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-7.20337364,316.3253802,0.126942975
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-7.1037471,314.4370578,0.786277062
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-6.1572,315.3420739,0.635471542
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-4.79596465,314.7139613,2.214638064
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-3.79154436,313.171057,0.634039485
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-3.71393737,312.8003638,0.634037949
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-3.55856136,312.2227408,1.424334549
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-2.38391817,312.1844627,0.410887285
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",-0.2509,312.0017776,0.635421148
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",0.33152826,313.6602846,2.214636808
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",1.22594532,309.6939936,0.41087146
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",2.2935131,311.57095,2.214634332
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",3.33660317,310.3629002,0.634027909
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",3.37313996,312.8663621,2.214635866
-51-1800 yr BP:',"Law Dome (Rubino et al., 2013)",4.38416084,312.5596868,2.214635502
